Country/Region,Deaths
Afghanistan,1269
Albania,144
Algeria,1163
Andorra,52
Angola,41
Antigua and Barbuda,3
Argentina,3059
Armenia,711
Australia,167
Austria,713
Azerbaijan,423
Bahamas,11
Bahrain,141
Bangladesh,2965
Barbados,7
Belarus,538
Belgium,9822
Belize,2
Benin,35
Bhutan,0
Bolivia,2647
Bosnia and Herzegovina,294
Botswana,2
Brazil,87618
Brunei,3
Bulgaria,347
Burkina Faso,53
Burma,6
Burundi,1
Cabo Verde,22
Cambodia,0
Cameroon,391
Canada,8944
Central African Republic,59
Chad,75
Chile,9187
China,4656
Colombia,8777
Comoros,7
Congo (Brazzaville),54
Congo (Kinshasa),208
Costa Rica,115
Cote d'Ivoire,96
Croatia,139
Cuba,87
Cyprus,19
Czechia,373
Denmark,613
Djibouti,58
Dominica,0
Dominican Republic,1083
Ecuador,5532
Egypt,4652
El Salvador,408
Equatorial Guinea,51
Eritrea,0
Estonia,69
Eswatini,34
Ethiopia,228
Fiji,0
Finland,329
France,30212
Gabon,49
Gambia,8
Georgia,16
Germany,9125
Ghana,168
Greece,202
Greenland,0
Grenada,0
Guatemala,1761
Guinea,45
Guinea-Bissau,26
Guyana,20
Haiti,158
Holy See,0
Honduras,1166
Hungary,596
Iceland,10
India,33408
Indonesia,4838
Iran,15912
Iraq,4458
Ireland,1764
Israel,474
Italy,35112
Jamaica,10
Japan,998
Jordan,11
Kazakhstan,585
Kenya,285
Kosovo,185
Kuwait,438
Kyrgyzstan,1301
Laos,0
Latvia,31
Lebanon,51
Lesotho,12
Liberia,72
Libya,64
Liechtenstein,1
Lithuania,80
Luxembourg,112
Madagascar,91
Malawi,99
Malaysia,124
Maldives,15
Mali,124
Malta,9
Mauritania,156
Mauritius,10
Mexico,44022
Moldova,748
Monaco,4
Mongolia,0
Montenegro,45
Morocco,316
Mozambique,11
Namibia,8
Nepal,48
Netherlands,6160
New Zealand,22
Nicaragua,108
Niger,69
Nigeria,860
North Macedonia,466
Norway,255
Oman,393
Pakistan,5842
Panama,1322
Papua New Guinea,0
Paraguay,43
Peru,18418
Philippines,1945
Poland,1676
Portugal,1719
Qatar,165
Romania,2206
Russia,13334
Rwanda,5
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
San Marino,42
Sao Tome and Principe,14
Saudi Arabia,2760
Senegal,194
Serbia,543
Seychelles,0
Sierra Leone,66
Singapore,27
Slovakia,28
Slovenia,116
Somalia,93
South Africa,7067
South Korea,300
South Sudan,46
Spain,28432
Sri Lanka,11
Sudan,720
Suriname,24
Sweden,5700
Switzerland,1978
Syria,40
Taiwan*,7
Tajikistan,60
Tanzania,21
Thailand,58
Timor-Leste,0
Togo,18
Trinidad and Tobago,8
Tunisia,50
Turkey,5630
US,148011
Uganda,2
Ukraine,1636
United Arab Emirates,345
United Kingdom,45844
Uruguay,35
Uzbekistan,121
Venezuela,146
Vietnam,0
West Bank and Gaza,78
Western Sahara,1
Yemen,483
Zambia,140
Zimbabwe,36
